Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Gifu,1.32,0.71,0.61,1.23,0.71,0.52,0.08,0.0,0.08,1.32,0.71,0.61,0,1,-1,-1.61,58.0,56.62,47.06,0.69,0.46,270,12,10,4,14.49,8.7,13.46,4,1,21,8,9,124.7,59.3,36.53,27.99,71.0,40.26,2,Gifu 0-1 Ventforet Kofu,2026-03-08
Nagano Parceiro,1.8,2.56,-0.76,1.47,2.32,-0.85,0.33,0.24,0.09,1.8,2.56,-0.76,2,4,-2,-1.24,42.9,36.36,45.18,0.64,0.68,156,8,15,16,23.44,23.53,9.1,10,2,13,4,16,54.1,25.2,81.8,76.07,33.39,10.39,0,Fukushima United 4-2 Nagano Parceiro,2026-03-08
Fukushima United,2.56,1.8,0.76,2.32,1.47,0.85,0.24,0.33,-0.09,2.56,1.8,0.76,4,2,2,1.24,57.1,63.64,51.39,0.68,0.64,267,16,16,15,23.53,23.44,9.39,2,10,13,4,10,160.6,74.8,25.73,23.93,288.05,89.61,0,Fukushima United 4-2 Nagano Parceiro,2026-03-08
Tochigi,1.02,2.02,-1.0,0.9,1.11,-0.21,0.12,0.15,-0.03,1.02,1.26,-0.24,0,4,-4,-3.0,55.5,49.57,47.9,0.5,0.63,180,10,10,11,20.0,17.46,9.41,3,6,22,4,8,95.6,53.65,17.27,31.4,59.95,31.44,4,Sagamihara 4-0 Tochigi,2026-03-08
Sagamihara,2.02,1.02,1.0,1.11,0.9,0.21,0.15,0.12,0.03,1.26,1.02,0.24,4,0,4,3.0,44.5,50.43,48.57,0.63,0.5,163,11,11,10,17.46,20.0,8.47,6,3,16,5,16,82.6,46.35,37.73,68.6,130.75,68.56,6,Sagamihara 4-0 Tochigi,2026-03-08
Thespa Gunma,1.49,1.56,-0.07,1.11,1.42,-0.31,0.38,0.14,0.24,1.49,1.56,-0.07,1,1,0,0.07,50.9,43.7,44.71,1.05,1.18,168,11,13,19,12.38,16.1,12.32,1,8,27,2,14,74.7,33.65,27.6,29.76,70.23,26.95,1,Tochigi City 1-1 Thespa Gunma,2026-03-08
Tochigi City,1.56,1.49,0.07,1.42,1.11,0.31,0.14,0.38,-0.24,1.56,1.49,0.07,1,1,0,-0.07,49.1,56.3,52.04,1.18,1.05,221,25,19,13,16.1,12.38,9.53,8,1,42,9,12,147.3,66.35,65.13,70.24,190.37,73.05,2,Tochigi City 1-1 Thespa Gunma,2026-03-08
Blaublitz Akita,1.66,1.15,0.51,1.66,0.73,0.93,0.0,0.41,-0.41,1.66,1.15,0.51,1,0,1,0.49,35.6,44.76,51.94,0.54,1.0,182,9,11,11,20.37,11.0,21.24,4,2,18,4,9,69.7,36.23,149.73,97.4,151.73,81.17,2,Montedio Yamagata 0-1 Blaublitz Akita,2026-03-08
Montedio Yamagata,1.15,1.66,-0.51,0.73,1.66,-0.93,0.41,0.0,0.41,1.15,1.66,-0.51,0,1,-1,-0.49,64.4,55.24,46.94,1.0,0.54,267,14,11,11,11.0,20.37,8.81,2,4,22,6,10,122.7,63.77,4.0,2.6,35.2,18.83,2,Montedio Yamagata 0-1 Blaublitz Akita,2026-03-08
Yokohama,1.29,0.19,1.1,0.94,0.16,0.78,0.36,0.03,0.33,1.29,0.19,1.1,1,1,0,-1.1,64.6,64.44,50.94,0.61,0.56,291,12,12,7,19.67,12.5,7.82,6,8,37,12,12,167.1,76.55,3.73,3.66,111.23,66.55,6,Vanraure Hachinohe 1-1 Yokohama,2026-03-08
