Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Waldhof Mannheim,1.67,2.34,-0.67,1.67,1.01,0.66,0.00,1.33,-1.33,1.67,2.34,-0.67,3,2,1,1.67,62.40,57.33,44.96,0.92,0.29,207,14,12,16,13.04,55.17,8.35,2,4,21,5,9,114.0,61.92,13.6,11.57,47.87,41.14,0,Havelse 2-3 Waldhof Mannheim,2025-09-30
Havelse,2.34,1.67,0.67,1.01,1.67,-0.66,1.33,0.00,1.33,2.34,1.67,0.67,2,3,-1,-1.67,37.60,42.67,43.62,0.29,0.92,132,11,16,12,55.17,13.04,14.23,4,2,17,4,20,70.1,38.08,103.93,88.43,68.5,58.86,6,Havelse 2-3 Waldhof Mannheim,2025-09-30
Energie Cottbus,1.44,2.27,-0.83,1.10,1.51,-0.41,0.35,0.76,-0.41,1.44,2.27,-0.83,3,1,2,2.83,43.80,32.68,42.26,0.5,0.82,163,13,10,18,20.0,21.95,17.17,4,11,15,4,9,50.4,22.22,66.73,72.53,64.0,33.77,1,Hansa Rostock 1-3 Energie Cottbus,2025-09-30
Hansa Rostock,2.27,1.44,0.83,1.51,1.10,0.41,0.76,0.35,0.41,2.27,1.44,0.83,1,3,-2,-2.83,56.20,67.32,50.60,0.82,0.5,293,15,18,10,21.95,20.0,9.73,11,4,24,7,10,176.4,77.78,25.27,27.47,125.53,66.23,3,Hansa Rostock 1-3 Energie Cottbus,2025-09-30
Wehen Wiesbaden,1.27,1.44,-0.17,0.59,1.15,-0.56,0.68,0.30,0.38,1.27,1.44,-0.17,0,0,0,0.17,40.70,42.9,42.94,0.36,0.59,171,15,9,10,25.0,16.95,15.51,8,1,19,5,13,67.9,34.1,95.53,79.57,87.8,52.29,3,Stuttgart II 0-0 Wehen Wiesbaden,2025-09-30
Stuttgart II,1.44,1.27,0.17,1.15,0.59,0.56,0.30,0.68,-0.38,1.44,1.27,0.17,0,0,0,-0.17,59.30,57.1,46.04,0.59,0.36,268,9,10,9,16.95,25.0,11.65,1,8,17,3,14,131.2,65.9,24.53,20.43,80.1,47.71,0,Stuttgart II 0-0 Wehen Wiesbaden,2025-09-30
MSV Duisburg,1.30,0.39,0.91,1.26,0.35,0.91,0.03,0.04,-0.01,1.30,0.39,0.91,0,0,0,-0.91,37.30,46.96,44.59,0.72,0.27,133,8,17,8,23.61,29.63,14.94,8,3,11,1,18,78.0,58.6,96.07,84.27,143.5,77.16,3,Saarbrücken 0-0 MSV Duisburg,2025-09-30
Saarbrücken,0.39,1.30,-0.91,0.35,1.26,-0.91,0.04,0.03,0.01,0.39,1.30,-0.91,0,0,0,0.91,62.70,53.04,41.75,0.27,0.72,191,3,8,17,29.63,23.61,9.46,3,8,17,4,9,55.1,41.4,17.93,15.73,42.47,22.84,1,Saarbrücken 0-0 MSV Duisburg,2025-09-30
Osnabrück,0.88,1.45,-0.57,0.80,1.23,-0.43,0.08,0.22,-0.14,0.88,1.45,-0.57,0,0,0,0.57,53.30,45.14,44.18,0.82,0.63,219,16,13,16,15.85,25.4,14.92,4,6,16,5,14,84.6,46.0,33.53,38.43,71.77,40.22,3,Viktoria Köln 0-0 Osnabrück,2025-09-28
Viktoria Köln,1.45,0.88,0.57,1.23,0.80,0.43,0.22,0.08,0.14,1.45,0.88,0.57,0,0,0,-0.57,46.70,54.86,44.64,0.63,0.82,205,16,16,13,25.4,15.85,13.64,6,4,26,7,11,99.3,54.0,53.73,61.57,106.67,59.78,1,Viktoria Köln 0-0 Osnabrück,2025-09-28
